,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,HostelType
0,Susan Jacobs,5,il y a 9 minutes,no comment,01/2023,11
1,Gianpietro Sechi,5,il y a 29 minutes,no comment,01/2023,11
2,OCTARIO,4,il y a 31 minutes,no comment,01/2023,11
3,Ryan den Bekker,2,il y a 32 minutes,"(Traduit par Google) Mon genou s'est disloqué 3 jours avant le départ, j'ai donc dû utiliser un fauteuil roulant, ce qui n'est pas un problème en soi. Mais ils ne m'ont pas donné de laissez-passer pour une entrée en fauteuil roulant aux manèges parce que je n'étais pas admissible, même si j'avais une lettre du médecin avec moi, ridicule !! Une grande partie des attractions ne peuvent pas le faire(Avis d'origine)Mijn knie 3 dagen voor vertrek uit de kom gehad, moest dus in een rolstoel wat opzich geen probleem is. Maar ze wouden me geen pasje geven voor een rolstoelingang bij de attracties omdat ik niet hier niet voor in aanmerking kwam, ontdanks dat ik een brief van de dokter bij me had, belachelijk!! Een groot deel van de attracties hierdoor niet kunnen doen",01/2023,11
4,Marie Leclerc,5,il y a 55 minutes,no comment,01/2023,11
5,Víctor Suárez,5,il y a 57 minutes,no comment,01/2023,11
6,Olivier Cassiot,5,il y a 58 minutes,no comment,01/2023,11
7,Τιμος Sidiropoulos,1,il y a une heure,"(Traduit par Google) RAPPER de luxe. Mes enfants s'ennuyaient (11 et 12 ans). Un parc d'attractions tentaculaire avec plus de restaurants (avec de la mauvaise nourriture et chers) et des boutiques de souvenirs que les activités elles-mêmes ! Marche inutile et distances incroyables entre les activités juste pour vous fatiguer et vous asseoir restaurants. Files d'attente incroyables même en hiver qu'ils cachent exprès avec des couloirs (comme des animaux) car sinon ils atteindraient 200 mètres et tout le monde jurerait ! 500 euros pour quatre personnes (parking 30 et fast food pour 70 !). Si vous voulez un meilleur parc d'Europe, allez à Gardaland pour la moitié de l'argent.Dommage avec cet argent on aurait pu manger dans de bons restos parisiens et on a perdu une journée et les merveilleux musées de Paris.(Avis d'origine)ΑΡΠΑΧΤΗ πολυτελείας.Τα παιδιά μου βαρέθηκαν(11 και 12).Ενα απλωμένο Λουνα παρκ με περισσότερα εστιατόρια(με κακό φαγητό και ακριβά) και μαγαζιά με σουβενίρ από τις ίδιες τις δραστηριότητες!Ανουσιο περπάτημα και απίστευτες αποστάσεις ανάμεσα στις δραστηριότητες μόνο και μόνο για να κουραστείς και να κάτσεις σε εστιατόρια.Απιστευτες ουρές ακόμα και χειμώνα τις οποίες κρύβουν επίτηδες με διαδρόμους(σαν ζώα)γιατί αλλιώς θα έφταναν τα 200 μέτρα και θα έβριζαν όλοι!500 ευρώ για τέσσερα άτομα(πάρκινγκ 30 και φαστφουντ με 70€!).Αν θέλετε κορυφαίο πάρκο στην Ευρώπη πηγαίνετε στην  Gardaland με τα μισά λεφτά.Κρίμα με αυτά τα λεφτά θα μπορούσαμε να φάμε σε καλά εστιατόρια στο Παρίσι και χάσαμε άδικα μια μέρα και τα υπέροχα μουσεία του Παρισιού.",01/2023,11
8,loli cab,4,il y a 2 heures,no comment,01/2023,11
9,florence lamaire,5,il y a 2 heures,no comment,01/2023,11
10,surina ryckewaert,3,il y a 2 heures,no comment,01/2023,11
11,Merve Özdemir,3,il y a 2 heures,no comment,01/2023,11
12,Lucas Villemon,3,il y a 3 heures,no comment,01/2023,11
13,Oscar Gallego,5,il y a 3 heures,(Traduit par Google) Endroit idéal à visiter. Convient à tout âge.(Avis d'origine)Lugar ideal para visitar. Apto para cualquier edad.,01/2023,11
14,David De amorin,3,il y a 3 heures,Bel destination.Le problème avec Disneyland Paris depuis des années c est qu il nous vendent du bas de gamme au prix du haut de gamme  ou du luxe et ça pose un problème car avoir Mickey et être à Disneyland ne justifie pas tout …Également un manque de personnel qui se ressent bien au moment de chercher un restaurant et de vouloir manger ….Parfois pour manger vaut mieux aller aux Disney village car moins d attente et le prix peuvent être bien moins chers pour une qualité supérieure.Très dommage car cet destination a un énorme potentiel qui n est pas assez mis en valeur par la direction qui recherche le profit au détriment de la magie qui tenait tant à cœur à tonton Walt .Il y a un effort tout de même de fait sur les spectacles du 30 eme anniversaire qui sont exceptionnelles.,06/2022,11
15,Andres RC,4,il y a 3 heures,"(Traduit par Google) Le parc est bien, loin de Paris, les files d'attente sont toujours énormes, même en janvier.L'organisation de l'entrée du parc est horrible, car, bien qu'ils aient de nombreuses entrées, ils n'en ouvrent que 4 pour que nous puissions tous entrer, ce qui produit un blocage, il en va de même avec les sorties.(Avis d'origine)El parque está bien, lejos de París, las colas siempre tremendas, incluso en enero.La organización de la entrada al parque es horrible, ya que, aunque tienen muchos accesos, sólo abren 4 para que entremos todos, lo que produce un tapón, lo mismo ocurre con las salidas.",01/2023,11
16,Moris Petit,5,il y a 4 heures,no comment,01/2023,11
